"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","age70plus",3865569,3966508,1004692,161250,461384,476581,340876,1521724,100939,41924,36507,22508
"1989:Q3","age55to70",7249417,7671558,1901632,463336,747619,1713880,1011304,1833786,422140,291735,91096,39309
"1989:Q3","age40to55",6623490,7855041,2472747,673208,623701,1683938,1141933,1259514,1231550,871215,300298,60037
"1989:Q3","ageunder40",2685664,4063610,1512884,598556,218932,598796,476223,658218,1377947,1005816,356306,15825
"1989:Q4","age70plus",3976470,4075729,1104236,165061,447169,478303,339314,1541647,99260,41553,36573,21134
"1989:Q4","age55to70",7433685,7893875,1938175,467946,791306,1764234,1037822,1894392,460190,325007,94944,40240
"1989:Q4","age40to55",6759204,7957594,2463218,682673,639091,1749810,1146302,1276500,1198390,830605,307683,60102
"1989:Q4","ageunder40",2636640,4085533,1488688,610095,235985,609047,471817,669900,1448893,1062950,370085,15857
"1990:Q1","age70plus",4086519,4180295,1095970,175630,448668,511939,370166,1577922,93776,39891,33029,20856
"1990:Q1","age55to70",7437980,7905434,1969478,480917,714484,1773955,1037440,1929159,467454,327273,96449,43731
"1990:Q1","age40to55",6775875,8037661,2525193,694291,601846,1790250,1139766,1286315,1261786,901580,299671,60535
"1990:Q1","ageunder40",2643660,4089709,1507637,616291,229648,604168,466691,665275,1446050,1066168,363171,16711
"1990:Q2","age70plus",4359503,4454517,1185376,179713,507516,559688,407481,1614744,95014,44135,31059,19820
"1990:Q2","age55to70",7417463,7933055,1986694,484177,714970,1781586,1038513,1927115,515591,368647,102247,44697
"1990:Q2","age40to55",6819987,8049928,2480425,701663,612887,1836399,1115592,1302962,1229941,872877,296579,60486
"1990:Q2","ageunder40",2576314,4071591,1484652,626958,229068,609114,460867,660932,1495277,1109751,368828,16699
"1990:Q3","age70plus",4480396,4570980,1135479,199127,476849,604501,461034,1693990,90583,39516,33957,17111
"1990:Q3","age55to70",7272407,7764326,2006246,489125,525151,1778390,1008354,1957060,491919,354468,95577,41874
"1990:Q3","age40to55",6739777,8059613,2541773,706664,515206,1863813,1115795,1316362,1319836,949870,310378,59587
"1990:Q3","ageunder40",2527047,4017895,1502892,621331,199302,591555,456232,646582,1490848,1102883,372391,15574
"1990:Q4","age70plus",4432097,4513986,1125006,205052,465914,585076,431263,1701675,81889,32083,32239,17567
"1990:Q4","age55to70",7552515,8052883,2002650,496876,655376,1827806,1042479,2027696,500367,352115,102967,45285
"1990:Q4","age40to55",6897929,8239593,2527240,710979,580974,1939151,1135208,1346042,1341664,973160,308783,59722
"1990:Q4","ageunder40",2565781,4094019,1516286,626213,227834,604664,451035,667987,1528237,1131897,380402,15938
"1991:Q1","age70plus",4300894,4371855,1186026,206998,419329,533473,365753,1660275,70961,27828,25993,17141
"1991:Q1","age55to70",7927521,8463206,2019774,503504,871074,1891567,1097929,2079357,535685,374882,113502,47301
"1991:Q1","age40to55",7174730,8463157,2504325,718790,678941,2029067,1162901,1369134,1288427,939742,288482,60204
"1991:Q1","ageunder40",2608232,4185935,1502815,638537,270479,628426,443825,701854,1577704,1186700,374231,16772
"1991:Q2","age70plus",4439434,4509841,1201044,218233,450353,555214,398269,1686728,70407,28718,25257,16431
"1991:Q2","age55to70",7836076,8389167,2033171,504548,836551,1906346,1078603,2029948,553092,391071,114568,47453
"1991:Q2","age40to55",7209522,8523360,2509481,721911,674571,2083749,1145638,1388011,1313838,967217,286779,59843
"1991:Q2","ageunder40",2565942,4159828,1507456,639015,262139,635235,435279,680705,1593886,1203107,374702,16077
"1991:Q3","age70plus",4425671,4501657,1150711,226426,472855,553652,401656,1696356,75986,32922,24492,18572
"1991:Q3","age55to70",7944031,8489509,2038861,512848,914181,1937176,1076396,2010047,545479,375273,117552,52653
"1991:Q3","age40to55",7295437,8690166,2551178,724911,722125,2158350,1131384,1402219,1394729,1051262,282139,61328
"1991:Q3","ageunder40",2662067,4211663,1542786,639258,271483,651761,424920,681456,1549596,1154511,378316,16768
"1991:Q4","age70plus",4304312,4386322,1164164,230978,448299,520336,357292,1665254,82010,36769,24123,21118
"1991:Q4","age55to70",8334501,8907564,2063136,515716,1196205,1985707,1105363,2041436,573063,390953,122980,59130
"1991:Q4","age40to55",7585255,9011021,2580533,727370,853431,2258362,1143373,1447952,1425766,1082350,280730,62686
"1991:Q4","ageunder40",2704063,4266883,1541248,643325,311993,669417,414583,686318,1562820,1157285,387749,17786
"1992:Q1","age70plus",4442922,4536756,1239450,243044,452263,549503,381284,1671212,93834,51286,22981,19567
"1992:Q1","age55to70",8187110,8788090,2082825,511583,1150099,1991644,1090424,1961515,600980,425243,119881,55855
"1992:Q1","age40to55",7682797,9112085,2568345,732516,846843,2337161,1145885,1481335,1429288,1093030,271352,64906
"1992:Q1","ageunder40",2710005,4244912,1554893,644952,302849,662503,409232,670482,1534907,1138162,379138,17606
"1992:Q2","age70plus",4628841,4734074,1284267,251510,496135,584076,413586,1704500,105233,61227,23107,20899
"1992:Q2","age55to70",8026674,8651922,2083572,512224,1115190,1997400,1067997,1875539,625248,446652,119858,58739
"1992:Q2","age40to55",7741658,9188403,2536093,739818,853438,2426940,1121956,1510159,1446745,1111315,268218,67212
"1992:Q2","ageunder40",2716963,4237734,1574560,649528,290024,666031,401224,656367,1520771,1121501,381149,18121
"1992:Q3","age70plus",4622294,4723583,1211408,258517,509637,591459,422572,1729990,101289,57364,23448,20477
"1992:Q3","age55to70",8115363,8722494,2106593,520692,1177929,2019277,1068701,1829302,607131,426475,121879,58777
"1992:Q3","age40to55",7952317,9494060,2633494,744149,900654,2539847,1122120,1553797,1541742,1203870,269706,68167
"1992:Q3","ageunder40",2774499,4286668,1612494,648185,291808,675417,396837,661927,1512168,1107619,386901,17649
"1992:Q4","age70plus",4600610,4705997,1228077,269175,496757,618439,386273,1707276,105386,61914,23320,20153
"1992:Q4","age55to70",8466560,9080233,2106549,524414,1400411,2102037,1076174,1870647,613673,430924,123185,59564
"1992:Q4","age40to55",8159577,9752432,2675858,750588,1030146,2583904,1152077,1559857,1592855,1243009,281179,68667
"1992:Q4","ageunder40",2836529,4355807,1632531,649077,325394,687090,389607,672109,1519278,1104506,397085,17686
"1993:Q1","age70plus",4827568,4944697,1422570,277479,523132,643836,390197,1687483,117129,75732,19521,21876
"1993:Q1","age55to70",8486670,9168838,2087724,512508,1436500,2162582,1077708,1891816,682168,494523,123286,64359
"1993:Q1","age40to55",8290315,9773739,2550041,758455,1086415,2614484,1181281,1583063,1483425,1136948,276246,70231
"1993:Q1","ageunder40",2773022,4326597,1593731,657957,331037,709084,390363,644424,1553575,1146985,388209,18381
"1993:Q2","age70plus",4855687,4973384,1408514,289419,522587,671470,389798,1691597,117697,77243,19112,21341
