"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","College",10032313,11441243,2960248,796336,1342202,2139617,1626686,2576155,1408930,1044494,274696,89740
"1989:Q3","SomeCollege",3959406,4716710,1490482,423655,362807,828885,536237,1074643,757304,543551,192143,21611
"1989:Q3","HS",4179204,4891625,1527808,483041,258669,1014937,528823,1078347,712421,462516,228593,21311
"1989:Q3","NoHS",2253217,2507138,913417,193318,87959,489756,278591,544097,253921,160129,88775,5017
"1989:Q4","College",10395115,11861499,3121953,815168,1379284,2221603,1657369,2666121,1466384,1084741,292211,89432
"1989:Q4","SomeCollege",4073807,4823099,1510590,431699,394314,868432,539006,1079059,749292,533972,193952,21368
"1989:Q4","HS",4108047,4850023,1477525,481310,254789,1024179,525321,1086899,741976,486619,234560,20797
"1989:Q4","NoHS",2229029,2478111,884250,197598,85164,487180,273558,550361,249082,154783,88563,5736
"1990:Q1","College",10776056,12302694,3229031,844839,1335469,2339319,1733740,2820295,1526638,1138643,295806,92188
"1990:Q1","SomeCollege",4013514,4779692,1533692,437417,365151,882485,516758,1044189,766178,556058,187123,22997
"1990:Q1","HS",4018363,4748187,1453855,484862,224379,1023030,503136,1058924,729824,483317,225953,20555
"1990:Q1","NoHS",2136101,2382526,881699,200010,69646,435478,260429,535263,246425,156894,83438,6092
"1990:Q2","College",11381542,12970020,3342082,866075,1443338,2486659,1843447,2988419,1588478,1189343,306675,92460
"1990:Q2","SomeCollege",3977683,4738617,1536141,444081,351734,923389,480835,1002437,760934,550486,187324,23124
"1990:Q2","HS",3845118,4592418,1414235,480504,211503,1014928,460634,1010613,747300,504115,223114,20070
"1990:Q2","NoHS",1968924,2208036,844689,201851,57866,361811,237537,504282,239112,151467,81599,6047
"1990:Q3","College",11589572,13226642,3390749,890488,1224538,2630149,1907347,3183371,1637070,1228333,320129,88608
"1990:Q3","SomeCollege",3823197,4598392,1554152,445232,283436,896617,458443,960510,775194,572814,182036,20344
"1990:Q3","HS",3754402,4498403,1407704,482920,167369,1009415,446467,984528,744001,493494,231191,19316
"1990:Q3","NoHS",1852456,2089377,833786,197606,41164,302078,229159,485584,236921,152096,78946,5879
"1990:Q4","College",11757746,13441577,3420613,914512,1355712,2638945,1885997,3225798,1683831,1258572,333010,92248
"1990:Q4","SomeCollege",3982233,4770775,1543161,446695,331575,961048,487629,1000668,788542,582892,184379,21271
"1990:Q4","HS",3817613,4565742,1387509,479104,192355,1036189,457085,1013500,748129,499411,229708,19010
"1990:Q4","NoHS",1890730,2122387,819900,198809,50456,320515,229275,503433,231657,148380,77294,5982
"1991:Q1","College",11783528,13498395,3499477,939133,1518319,2583167,1809620,3148680,1714867,1287951,331980,94936
"1991:Q1","SomeCollege",4290930,5074414,1553158,452783,414883,1045878,543962,1063750,783484,578466,183567,21451
"1991:Q1","HS",3950080,4704358,1380080,474359,236851,1070053,482619,1060396,754278,521834,213455,18989
"1991:Q1","NoHS",1986838,2206986,780225,201554,69771,383435,234207,537795,220148,140902,73204,6042
"1991:Q2","College",12047932,13809903,3547647,957649,1533267,2689692,1852330,3229317,1761970,1328908,338298,94764
"1991:Q2","SomeCollege",4234164,5027048,1563543,455076,399432,1058686,525228,1025082,792884,590489,181510,20885
"1991:Q2","HS",3866859,4628334,1386518,471651,228572,1061255,460096,1020242,761475,532022,210989,18463
"1991:Q2","NoHS",1902018,2116912,753443,199330,62342,370911,220135,510750,214894,138693,70509,5692
