"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","College",49.1,48.6,43,42,65.4,47.8,54.8,48.9,45,47.2,35,65.2
"1989:Q3","SomeCollege",19.4,20,21.6,22.3,17.7,18.5,18.1,20.4,24.2,24.6,24.5,15.7
"1989:Q3","HS",20.5,20.8,22.2,25.5,12.6,22.7,17.8,20.4,22.7,20.9,29.1,15.5
"1989:Q3","NoHS",11,10.6,13.3,10.2,4.3,10.9,9.4,10.3,8.1,7.2,11.3,3.6
"1989:Q4","College",50,49.4,44.6,42.3,65.3,48.3,55.3,49.5,45.7,48,36.1,65.1
"1989:Q4","SomeCollege",19.6,20.1,21.6,22.4,18.7,18.9,18,20,23.4,23.6,24,15.6
"1989:Q4","HS",19.7,20.2,21.1,25,12.1,22.3,17.5,20.2,23.1,21.5,29,15.1
"1989:Q4","NoHS",10.7,10.3,12.6,10.3,4,10.6,9.1,10.2,7.8,6.8,10.9,4.2
"1990:Q1","College",51.5,50.8,45.5,42.9,67,50,57.5,51.7,46.7,48.8,37.3,65
"1990:Q1","SomeCollege",19.2,19.7,21.6,22.2,18.3,18.9,17.1,19.1,23.4,23.8,23.6,16.2
"1990:Q1","HS",19.2,19.6,20.5,24.6,11.2,21.9,16.7,19.4,22.3,20.7,28.5,14.5
"1990:Q1","NoHS",10.2,9.8,12.4,10.2,3.5,9.3,8.6,9.8,7.5,6.7,10.5,4.3
"1990:Q2","College",53.8,52.9,46.8,43.5,69.9,51.9,61,54.3,47.6,49.7,38.4,65.3
"1990:Q2","SomeCollege",18.8,19.3,21.5,22.3,17,19.3,15.9,18.2,22.8,23,23.5,16.3
"1990:Q2","HS",18.2,18.7,19.8,24.1,10.2,21.2,15.2,18.4,22.4,21,27.9,14.2
"1990:Q2","NoHS",9.3,9,11.8,10.1,2.8,7.6,7.9,9.2,7.2,6.3,10.2,4.3
"1990:Q3","College",55.1,54.2,47.2,44.2,71.3,54.4,62.7,56.7,48.2,50.2,39.4,66.1
"1990:Q3","SomeCollege",18.2,18.8,21.6,22.1,16.5,18.5,15.1,17.1,22.8,23.4,22.4,15.2
"1990:Q3","HS",17.9,18.4,19.6,24,9.8,20.9,14.7,17.5,21.9,20.2,28.5,14.4
"1990:Q3","NoHS",8.8,8.6,11.6,9.8,2.4,6.2,7.5,8.6,7,6.2,9.7,4.4
"1990:Q4","College",54.8,54,47.7,44.8,70.2,53.2,61.6,56.2,48.8,50.6,40.4,66.6
"1990:Q4","SomeCollege",18.6,19.2,21.5,21.9,17.2,19.4,15.9,17.4,22.8,23.4,22.4,15.4
"1990:Q4","HS",17.8,18.3,19.3,23.5,10,20.9,14.9,17.6,21.7,20.1,27.9,13.7
"1990:Q4","NoHS",8.8,8.5,11.4,9.7,2.6,6.5,7.5,8.8,6.7,6,9.4,4.3
"1991:Q1","College",53.5,53,48.5,45.4,67.8,50.8,58.9,54.2,49.4,50.9,41.4,67.1
"1991:Q1","SomeCollege",19.5,19.9,21.5,21.9,18.5,20.6,17.7,18.3,22.6,22.9,22.9,15.2
"1991:Q1","HS",17.9,18.5,19.1,22.9,10.6,21.1,15.7,18.2,21.7,20.6,26.6,13.4
"1991:Q1","NoHS",9,8.7,10.8,9.7,3.1,7.5,7.6,9.3,6.3,5.6,9.1,4.3
"1991:Q2","College",54.6,54,48.9,46,69,51.9,60.6,55.8,49.9,51.3,42.2,67.8
"1991:Q2","SomeCollege",19.2,19.7,21.6,21.8,18,20.4,17.2,17.7,22.5,22.8,22.7,14.9
"1991:Q2","HS",17.5,18.1,19.1,22.6,10.3,20.5,15,17.6,21.6,20.5,26.3,13.2
"1991:Q2","NoHS",8.6,8.3,10.4,9.6,2.8,7.2,7.2,8.8,6.1,5.4,8.8,4.1
"1991:Q3","College",54.8,54.2,48.8,46.5,68.9,51.9,60.9,56.1,50.3,51.7,42.9,67.5
"1991:Q3","SomeCollege",19.2,19.7,21.6,21.6,18,20.7,17.4,17.7,22.9,23.4,22.6,16.5
"1991:Q3","HS",17.5,18,19.3,22.4,10.3,20.1,14.8,17.5,20.7,19.6,25.8,12.4
"1991:Q3","NoHS",8.5,8.2,10.3,9.5,2.7,7.4,6.9,8.7,6,5.4,8.6,3.6
"1991:Q4","College",53.5,53.1,48.9,46.9,66.5,50.1,58.2,54.3,50.6,51.8,43.4,67.3
