"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","pct99",3583088,3723859,535934,265454,812196,319685,834094,956496,140771,90956,27245,22570
"1989:Q3","pct80to99",8865400,10337892,3031649,694820,865825,2086392,1439486,2219720,1472493,1150612,246583,75298
"1989:Q3","pct60to80",3384800,4228381,1411929,437026,209451,1019084,275722,875168,843580,572090,248243,23247
"1989:Q3","pct40to60",2490233,2914868,999680,251091,107044,661564,245453,650036,424635,259060,159586,5989
"1989:Q3","pct20to40",1513724,1702247,669484,172284,35010,274979,127936,422553,188523,113476,69841,5205
"1989:Q3","pct00to20",586895,649469,243279,75675,22111,111491,47647,149267,62574,24496,32709,5369
"1989:Q4","pct99",3657425,3811126,567334,258333,804982,328064,858702,993712,153702,98786,31832,23084
"1989:Q4","pct80to99",9046373,10553997,3092826,704938,911683,2160760,1428351,2255439,1507624,1183077,251696,72851
"1989:Q4","pct60to80",3404333,4290924,1417962,442738,216171,1044160,288488,881405,886591,609151,253800,23640
"1989:Q4","pct40to60",2540911,2960590,1001576,259100,115629,664449,249753,670084,419679,246877,165729,7073
"1989:Q4","pct20to40",1540643,1730248,666630,179074,42117,288747,124972,428709,189605,107654,76623,5328
"1989:Q4","pct00to20",616312,665845,247990,81592,22969,115215,44988,153092,49533,14570,29606,5358
"1990:Q1","pct99",3643972,3802677,586698,244041,742115,338295,858512,1033017,158705,106593,27102,25011
"1990:Q1","pct80to99",9029610,10553865,3087826,723851,848844,2212057,1413687,2267600,1524255,1200368,249200,74687
"1990:Q1","pct60to80",3484921,4372721,1462573,452626,209650,1062598,303162,882112,887800,621869,242114,23817
"1990:Q1","pct40to60",2583929,3022771,1020477,274606,121527,665198,257299,683664,438842,268553,162174,8114
"1990:Q1","pct20to40",1564201,1760684,683222,185955,44382,288287,124138,434699,196483,115719,75229,5535
"1990:Q1","pct00to20",637402,700382,257482,86050,28126,113878,57265,157580,62980,21810,36501,4669
"1990:Q2","pct99",3737835,3903751,609195,242414,783897,356342,856428,1055474,165916,113746,26420,25750
"1990:Q2","pct80to99",9084104,10646742,3124873,730353,856213,2247221,1422260,2265821,1562637,1240081,249501,73056
"1990:Q2","pct60to80",3487074,4407550,1451092,456553,219094,1096622,301773,882416,920476,652509,244045,23922
"1990:Q2","pct40to60",2616018,3048822,1012774,279801,126523,677551,256011,696160,432804,260448,163496,8861
"1990:Q2","pct20to40",1580092,1776056,677721,192476,47766,293595,120870,443628,195964,111469,78881,5613
"1990:Q2","pct00to20",668144,726171,261491,90914,30948,115455,65110,162253,58027,17160,36369,4499
"1990:Q3","pct99",3601253,3778703,605541,228978,627246,362026,834365,1120547,177450,121304,32140,24006
"1990:Q3","pct80to99",8940210,10503678,3087957,745240,682098,2321431,1387625,2279327,1563468,1243675,254127,65665
"1990:Q3","pct60to80",3529304,4441550,1482337,460557,193131,1088207,329127,888189,912245,655389,232581,24275
"1990:Q3","pct40to60",2646506,3107711,1028888,295185,129441,672751,272601,708846,461205,282322,169151,9731
"1990:Q3","pct20to40",1580955,1789992,696950,192846,44833,282798,123678,448886,209037,120436,83129,5471
"1990:Q3","pct00to20",721398,791180,284717,93439,39759,111047,94020,168198,69781,23610,41173,4999
"1990:Q4","pct99",3707982,3895406,617954,227264,665347,362419,878990,1143431,187424,129672,31543,26208
"1990:Q4","pct80to99",9132856,10711732,3042550,753820,824794,2369014,1376618,2344936,1578875,1255183,256037,67656
"1990:Q4","pct60to80",3608309,4546266,1493032,465174,208277,1139423,337768,902592,937956,674107,239493,24356
"1990:Q4","pct40to60",2673544,3142871,1026914,301022,139941,672134,272383,730476,469327,288133,170687,10508
"1990:Q4","pct20to40",1610162,1825318,705313,197694,54205,299741,117814,450550,215156,122570,87021,5565
"1990:Q4","pct00to20",715469,778889,285420,94147,37533,113965,76411,171413,63419,19591,39610,4219
"1991:Q1","pct99",3827417,4014472,624060,230165,721772,357807,945608,1135059,187055,138024,21384,27647
"1991:Q1","pct80to99",9448382,11048838,3078212,759584,1039004,2401900,1365623,2404515,1600456,1282372,250282,67803
"1991:Q1","pct60to80",3663888,4633913,1479451,470197,228474,1199957,341573,914262,970025,705093,240247,24685
"1991:Q1","pct40to60",2708413,3160422,1023158,304488,151909,674247,266961,739658,452009,277196,163149,11664
"1991:Q1","pct20to40",1653367,1861261,704233,205939,66471,328130,108803,447686,207893,117571,84524,5798
"1991:Q1","pct00to20",709909,765248,303825,97456,32193,120492,41840,169441,55339,8896,42622,3821
"1991:Q2","pct99",3803630,3997567,625879,228990,713204,366384,930941,1132169,193937,145217,20311,28410
"1991:Q2","pct80to99",9431735,11056048,3083759,765436,1020555,2460362,1348008,2377927,1624313,1308739,249780,65793
"1991:Q2","pct60to80",3664935,4644169,1481508,471394,228491,1199801,347800,915174,979234,719535,235275,24424
