"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","pct99",17.5,15.8,7.8,14,39.6,7.1,28.1,18.1,4.5,4.1,3.5,16.4
"1989:Q3","pct80to99",43.4,43.9,44,36.6,42.2,46.6,48.5,42.1,47,52,31.4,54.7
"1989:Q3","pct60to80",16.6,17.9,20.5,23,10.2,22.8,9.3,16.6,26.9,25.9,31.7,16.9
"1989:Q3","pct40to60",12.2,12.4,14.5,13.2,5.2,14.8,8.3,12.3,13.6,11.7,20.4,4.3
"1989:Q3","pct20to40",7.4,7.2,9.7,9.1,1.7,6.1,4.3,8,6,5.1,8.9,3.8
"1989:Q3","pct00to20",2.9,2.8,3.5,4,1.1,2.5,1.6,2.8,2,1.1,4.2,3.9
"1989:Q4","pct99",17.6,15.9,8.1,13.4,38.1,7.1,28.7,18.5,4.8,4.4,3.9,16.8
"1989:Q4","pct80to99",43.5,44,44.2,36.6,43.1,47,47.7,41.9,47,52.3,31.1,53
"1989:Q4","pct60to80",16.4,17.9,20.3,23,10.2,22.7,9.6,16.4,27.6,27,31.4,17.2
"1989:Q4","pct40to60",12.2,12.3,14.3,13.5,5.5,14.4,8.3,12.4,13.1,10.9,20.5,5.2
"1989:Q4","pct20to40",7.4,7.2,9.5,9.3,2,6.3,4.2,8,5.9,4.8,9.5,3.9
"1989:Q4","pct00to20",3,2.8,3.5,4.2,1.1,2.5,1.5,2.8,1.5,0.6,3.7,3.9
"1990:Q1","pct99",17.4,15.7,8.3,12.4,37.2,7.2,28.5,18.9,4.9,4.6,3.4,17.6
"1990:Q1","pct80to99",43.1,43.6,43.5,36.8,42.6,47.3,46.9,41.5,46.6,51.4,31.5,52.7
"1990:Q1","pct60to80",16.6,18.1,20.6,23,10.5,22.7,10.1,16.2,27.2,26.6,30.6,16.8
"1990:Q1","pct40to60",12.3,12.5,14.4,14,6.1,14.2,8.5,12.5,13.4,11.5,20.5,5.7
"1990:Q1","pct20to40",7.5,7.3,9.6,9.5,2.2,6.2,4.1,8,6,5,9.5,3.9
"1990:Q1","pct00to20",3,2.9,3.6,4.4,1.4,2.4,1.9,2.9,1.9,0.9,4.6,3.3
"1990:Q2","pct99",17.7,15.9,8.5,12.2,38,7.4,28.3,19.2,5,4.7,3.3,18.2
"1990:Q2","pct80to99",42.9,43.4,43.8,36.7,41.5,46.9,47.1,41.2,46.8,51.8,31.2,51.6
"1990:Q2","pct60to80",16.5,18,20.3,22.9,10.6,22.9,10,16,27.6,27.2,30.6,16.9
"1990:Q2","pct40to60",12.4,12.4,14.2,14,6.1,14.2,8.5,12.6,13,10.9,20.5,6.3
"1990:Q2","pct20to40",7.5,7.2,9.5,9.7,2.3,6.1,4,8.1,5.9,4.7,9.9,4
"1990:Q2","pct00to20",3.2,3,3.7,4.6,1.5,2.4,2.2,2.9,1.7,0.7,4.6,3.2
"1990:Q3","pct99",17.1,15.5,8.4,11.4,36.5,7.5,27.4,20,5.2,5,4,17.9
"1990:Q3","pct80to99",42.5,43,43,37,39.7,48,45.6,40.6,46.1,50.8,31.3,49
"1990:Q3","pct60to80",16.8,18.2,20.6,22.8,11.3,22.5,10.8,15.8,26.9,26.8,28.6,18.1
"1990:Q3","pct40to60",12.6,12.7,14.3,14.6,7.5,13.9,9,12.6,13.6,11.5,20.8,7.3
"1990:Q3","pct20to40",7.5,7.3,9.7,9.6,2.6,5.8,4.1,8,6.2,4.9,10.2,4.1
"1990:Q3","pct00to20",3.4,3.2,4,4.6,2.3,2.3,3.1,3,2.1,1,5.1,3.7
"1990:Q4","pct99",17.3,15.6,8.6,11.1,34.5,7.3,28.7,19.9,5.4,5.2,3.8,18.9
"1990:Q4","pct80to99",42.6,43,42.4,37,42.7,47.8,45,40.8,45.7,50.4,31.1,48.8
"1990:Q4","pct60to80",16.8,18.3,20.8,22.8,10.8,23,11,15.7,27.2,27.1,29.1,17.6
"1990:Q4","pct40to60",12.5,12.6,14.3,14.8,7.3,13.6,8.9,12.7,13.6,11.6,20.7,7.6
"1990:Q4","pct20to40",7.5,7.3,9.8,9.7,2.8,6,3.9,7.8,6.2,4.9,10.6,4
"1990:Q4","pct00to20",3.3,3.1,4,4.6,1.9,2.3,2.5,3,1.8,0.8,4.8,3
"1991:Q1","pct99",17.4,15.8,8.7,11.1,32.2,7,30.8,19.5,5.4,5.5,2.7,19.5
"1991:Q1","pct80to99",42.9,43.4,42.7,36.7,46.4,47.3,44.5,41.4,46.1,50.7,31.2,47.9
"1991:Q1","pct60to80",16.6,18.2,20.5,22.7,10.2,23.6,11.1,15.7,27.9,27.9,29.9,17.5
"1991:Q1","pct40to60",12.3,12.4,14.2,14.7,6.8,13.3,8.7,12.7,13,11,20.3,8.2
"1991:Q1","pct20to40",7.5,7.3,9.8,10,3,6.5,3.5,7.7,6,4.6,10.5,4.1
"1991:Q1","pct00to20",3.2,3,4.2,4.7,1.4,2.4,1.4,2.9,1.6,0.4,5.3,2.7
"1991:Q2","pct99",17.2,15.6,8.6,11,32.1,7.1,30.4,19.6,5.5,5.6,2.5,20.3
"1991:Q2","pct80to99",42.8,43.2,42.5,36.7,45.9,47.5,44.1,41.1,46,50.5,31.2,47.1
"1991:Q2","pct60to80",16.6,18.2,20.4,22.6,10.3,23.2,11.4,15.8,27.7,27.8,29.4,17.5
"1991:Q2","pct40to60",12.4,12.5,14.1,14.9,7.1,13.3,8.8,12.7,13,11,20.4,8.6
"1991:Q2","pct20to40",7.6,7.4,9.8,10,3.1,6.6,3.5,7.8,6,4.6,10.8,4
"1991:Q2","pct00to20",3.4,3.2,4.5,4.8,1.6,2.4,1.8,3,1.7,0.4,5.7,2.5
"1991:Q3","pct99",17.2,15.6,8.6,10.8,32,7,30.7,19.4,5.7,5.7,2.4,22.5
"1991:Q3","pct80to99",42.7,43.1,41.7,36.8,46.3,47.4,43.9,41.2,45.5,49.9,30.8,48.2
"1991:Q3","pct60to80",16.8,18.2,20.7,22.6,10.1,22.9,11.5,15.8,26.7,26.7,29,15.7
"1991:Q3","pct40to60",12.3,12.5,14.2,15.1,6.9,13.3,8.8,12.8,13.6,11.8,20.5,8.1
"1991:Q3","pct20to40",7.6,7.4,10,10,3.1,6.8,3.4,7.8,6.4,5,11.3,3.9
"1991:Q3","pct00to20",3.4,3.2,4.6,4.6,1.5,2.5,1.7,3,2.1,1,5.9,1.8
"1991:Q4","pct99",17.3,15.8,8.4,10.9,31.7,6.9,32.1,18.9,5.9,5.9,2.5,24.3
"1991:Q4","pct80to99",43.1,43.4,41.8,36.7,48.5,47.3,43.3,41.8,45.4,49.8,30.4,49.5
"1991:Q4","pct60to80",16.7,18,20.5,22.5,9.6,23.3,11.6,15.8,26.5,26.3,29.3,14
"1991:Q4","pct40to60",12,12.2,14.2,15.1,6.2,13,8.8,12.8,13.6,11.9,20.6,7.6
"1991:Q4","pct20to40",7.5,7.4,10,10.1,3.1,7,3.1,7.7,6.5,5,11.9,3.7
"1991:Q4","pct00to20",3.3,3.2,5.1,4.6,1,2.5,1,3,2.1,1.1,5.5,0.9
"1992:Q1","pct99",17.3,15.7,8.6,10.8,31,7,32.1,19.1,5.9,5.9,2,25.7
"1992:Q1","pct80to99",43,43.4,42,36.6,48.4,47.7,42.4,41.5,45.7,50.1,30.4,46.7
"1992:Q1","pct60to80",17,18.2,20.3,22.4,9.6,23.5,12.1,15.9,25.7,25.8,27.9,13.8
"1992:Q1","pct40to60",12,12.2,14,15.3,6.6,12.6,9,12.6,13.6,11.7,20.9,8.2
"1992:Q1","pct20to40",7.5,7.3,9.9,10.1,3.2,6.8,3,7.7,6.5,5,12.3,3.9
"1992:Q1","pct00to20",3.4,3.3,5.1,4.7,1.2,2.4,1.4,3.1,2.6,1.5,6.6,1.7
"1992:Q2","pct99",17.3,15.7,8.9,10.6,31.4,7.3,31.8,19.1,6.1,6,2,27.5
"1992:Q2","pct80to99",42.9,43.3,42,36.5,47.5,47.8,42.2,41.5,45.8,50.3,30,46.7
"1992:Q2","pct60to80",17.1,18.2,20.2,22.2,9.7,23.5,12.2,16,25,25.2,27,12.4
"1992:Q2","pct40to60",11.9,12.2,13.9,15.5,6.8,12.4,9,12.6,13.6,11.7,21.2,8
"1992:Q2","pct20to40",7.4,7.3,9.9,10.2,3.2,6.7,2.9,7.8,6.7,5,13,3.9
"1992:Q2","pct00to20",3.4,3.3,5.1,4.8,1.3,2.4,1.8,3.1,2.8,1.7,6.8,1.5
"1992:Q3","pct99",17.2,15.7,8.6,10.3,31.5,7.4,32.2,18.8,6.3,6.1,2,29
"1992:Q3","pct80to99",42.8,43.1,41.2,36.7,47.5,48,41.7,41.7,45.1,49.5,29.7,45.8
"1992:Q3","pct60to80",17.3,18.3,20.5,22.3,9.6,23.4,12.4,16,24.5,24.5,26.9,11.6
"1992:Q3","pct40to60",11.8,12.2,14.1,15.8,6.8,12.1,9.1,12.7,14.2,12.5,21.3,8.4
"1992:Q3","pct20to40",7.4,7.3,10.1,10.2,3.3,6.7,2.7,7.7,7,5.3,13.5,3.8
"1992:Q3","pct00to20",3.5,3.4,5.5,4.7,1.3,2.4,1.9,3.2,3,2,6.6,1.4
"1992:Q4","pct99",17.4,15.9,8.7,10.6,31.2,7.1,32.7,19,6.1,6.1,1.9,27.8
"1992:Q4","pct80to99",43.1,43.3,41,36.7,49.1,48.2,41.4,41.6,44.8,49.1,30,44.9
"1992:Q4","pct60to80",17.4,18.3,20.7,22.3,9.4,23.9,12.5,16.1,24.5,24.5,26.8,12.6
"1992:Q4","pct40to60",11.5,11.9,14,15.6,6.1,11.9,8.9,12.5,14.2,12.6,21.1,8.4
"1992:Q4","pct20to40",7.3,7.3,10.2,10.1,3.2,6.7,2.9,7.7,7.1,5.5,13.3,4.5
"1992:Q4","pct00to20",3.3,3.3,5.4,4.7,0.9,2.3,1.5,3.1,3.2,2.2,6.9,1.8
"1993:Q1","pct99",17.7,16.1,9.1,11.3,31.2,6.9,32.8,19.4,5.9,6.1,0.6,27.3
"1993:Q1","pct80to99",43.2,43.6,42.2,36.2,49.3,48.2,41.5,41.3,46,50.3,30.9,45.7
"1993:Q1","pct60to80",17,18.1,20.1,22.2,9.4,23.5,12.4,16.1,25.2,25.6,26.4,12.5
"1993:Q1","pct40to60",11.5,11.7,13.6,15.2,5.9,12.1,8.8,12.2,13.1,11.2,20.8,7.8
"1993:Q1","pct20to40",7.4,7.3,9.9,10.1,3.3,6.9,3,7.8,6.7,5.1,12.8,5
"1993:Q1","pct00to20",3.2,3.2,5.1,4.9,0.9,2.4,1.6,3.2,3.1,1.7,8.4,1.8
"1993:Q2","pct99",17.7,16,9,11.2,30.7,6.7,32.8,19.9,5.7,6,0.3,26.6
"1993:Q2","pct80to99",43.1,43.5,41.8,36.2,49.7,48.3,41,40.9,45.7,49.7,31.5,45
"1993:Q2","pct60to80",17.1,18.2,20.3,22.3,9.5,23.4,12.6,16.3,25.1,25.5,25.9,13.1
"1993:Q2","pct40to60",11.4,11.7,13.7,15.3,5.9,12.1,8.7,12,13.3,11.5,20.7,7.8
"1993:Q2","pct20to40",7.4,7.4,10,10.1,3.3,7,3.2,7.8,6.8,5.3,12.4,5.5
"1993:Q2","pct00to20",3.3,3.3,5.2,4.9,0.9,2.4,1.8,3.2,3.4,1.9,9.1,2.1
"1993:Q3","pct99",17.8,16.1,8.9,11.1,30.8,6.5,32.8,20.2,5.7,6,0.2,26.2
"1993:Q3","pct80to99",43,43.3,41.3,36.3,49.8,48.3,40.8,40.6,45.3,49.1,31.9,46.8
"1993:Q3","pct60to80",17.2,18.2,20.6,22.5,9.5,23.3,12.6,16.3,25,25.6,25.9,12.6
"1993:Q3","pct40to60",11.3,11.6,13.8,15.3,5.7,12.2,8.6,11.8,13.5,11.9,20.5,7.2
"1993:Q3","pct20to40",7.5,7.4,10.1,10,3.3,7.1,3.3,7.9,6.9,5.5,12.2,5.8
"1993:Q3","pct00to20",3.3,3.3,5.3,4.9,0.9,2.4,1.9,3.2,3.5,2,9.2,1.4
