"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","Top1",4879833,5000935,592879,356499,980684,393767,1336370,1340736,121102,74295,25879,20929
"1989:Q3","Next9",7557333,8066392,2074138,419129,759834,1794599,1018768,1999925,509059,406339,56251,46469
"1989:Q3","Next40",7229926,8772775,3410205,763516,290259,2072819,569909,1666066,1542849,1139394,363797,39658
"1989:Q3","Bottom50",757048,1716613,814733,357207,20860,212009,45290,266514,959566,590662,338280,30624
"1989:Q4","Top1",5035425,5164795,625775,354643,1002181,411651,1380338,1390206,129370,79754,26001,23615
"1989:Q4","Next9",7654064,8151242,2123508,422302,775330,1824766,982122,2023214,497178,395485,57599,44094
"1989:Q4","Next40",7323272,8958200,3429247,777982,313369,2148860,586985,1701757,1634928,1217033,378178,39717
"1989:Q4","Bottom50",793238,1738495,815787,370848,22671,216116,45809,267263,945257,567843,347507,29907
"1990:Q1","Top1",5052143,5185904,661933,344790,941025,415850,1391787,1430519,133761,82740,25484,25537
"1990:Q1","Next9",7636448,8158078,2122873,434992,730002,1863792,972566,2033853,521630,418931,57398,45300
"1990:Q1","Next40",7498528,9113696,3496665,799577,305474,2184659,601403,1725919,1615169,1214283,359353,41533
"1990:Q1","Bottom50",756916,1755421,816808,387771,18143,216013,48307,268380,998505,618957,350085,29463
"1990:Q2","Top1",5146005,5282738,687065,344817,987786,431066,1398654,1433349,136732,85490,24171,27071
"1990:Q2","Next9",7743915,8270259,2148531,434996,748813,1915556,975571,2046792,526344,422393,59832,44120
"1990:Q2","Next40",7506819,9178518,3486987,812250,309927,2219370,596868,1753115,1671698,1272982,356927,41789
"1990:Q2","Bottom50",776527,1777577,814564,400448,17915,220794,51360,272496,1001049,614546,357782,28721
"1990:Q3","Top1",4999852,5144885,698445,325655,809703,424302,1376632,1510147,145033,89722,26506,28805
"1990:Q3","Next9",7696172,8231071,2132754,457406,628503,1957273,991028,2064107,534899,439934,56372,38593
"1990:Q3","Next40",7559985,9235870,3507614,830128,271145,2241121,618705,1767157,1675885,1267657,368893,39335
"1990:Q3","Bottom50",763619,1800988,847577,403056,7158,215564,55051,272582,1037369,649424,360532,27413
"1990:Q4","Top1",5229287,5382574,731062,321252,896824,440325,1426763,1566347,153288,97138,25362,30787
"1990:Q4","Next9",7759784,8296295,2090800,460928,702800,1977615,955441,2108710,536511,436371,59590,40550
"1990:Q4","Next40",7705975,9432551,3526559,844277,316677,2324033,624721,1796283,1726576,1316690,369408,40479
"1990:Q4","Bottom50",753278,1789061,822762,412663,13796,214723,53059,272058,1035783,639056,370031,26696
"1991:Q1","Top1",5483226,5642535,738802,324511,1021655,464590,1500416,1592561,159309,104439,22151,32720
"1991:Q1","Next9",7848675,8376895,2118206,455977,811221,1974661,895550,2121280,528220,422839,64233,41149
"1991:Q1","Next40",7828335,9612754,3496089,857830,382238,2426946,625874,1823777,1784419,1403331,339757,41331
"1991:Q1","Bottom50",851140,1851969,859842,429511,24709,216336,48568,273003,1000829,598544,376066,26219
"1991:Q2","Top1",5453374,5615754,750321,315755,1016362,484422,1476971,1571923,162380,107359,21656,33365
"1991:Q2","Next9",7858656,8402897,2121887,464601,804632,1996512,907205,2108061,544241,438663,64861,40716
"1991:Q2","Next40",7854792,9660925,3485179,870292,379815,2477294,622429,1825916,1806133,1431193,334228,40712
"1991:Q2","Bottom50",884150,1902620,893764,433059,22804,222316,51185,279491,1018469,612898,380561,25011
"1991:Q3","Top1",5554176,5713696,778283,306641,1092358,512571,1467117,1556725,159520,106260,19794,33467
"1991:Q3","Next9",7849671,8435787,2081856,472308,857106,2009851,903574,2111092,586116,471758,67096,47261
"1991:Q3","Next40",8054288,9806917,3518246,885249,404243,2548114,611792,1839272,1752629,1379662,329246,43721
"1991:Q3","Bottom50",869071,1936595,905149,439245,26937,230404,51872,282988,1067523,656288,386364,24872
"1991:Q4","Top1",5787713,5946935,769832,302797,1289489,536251,1493229,1555336,159223,107260,18018,33945
"1991:Q4","Next9",8014804,8634699,2113114,473388,1002331,2025557,874961,2145348,619895,494446,70538,54911
"1991:Q4","Next40",8174416,9945513,3478644,896408,476122,2639230,603572,1851537,1771096,1392035,331949,47112
