"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","Top1",23.9,21.2,8.6,18.8,47.8,8.8,45,25.4,3.9,3.4,3.3,15.2
"1989:Q3","Next9",37,34.2,30.1,22.1,37,40.1,34.3,37.9,16.3,18.4,7.2,33.8
"1989:Q3","Next40",35.4,37.2,49.5,40.3,14.1,46.3,19.2,31.6,49.3,51.5,46.4,28.8
"1989:Q3","Bottom50",3.7,7.3,11.8,18.8,1,4.7,1.5,5.1,30.6,26.7,43.1,22.2
"1989:Q4","Top1",24.2,21.5,8.9,18.4,47.4,8.9,46.1,25.8,4,3.5,3.2,17.2
"1989:Q4","Next9",36.8,33.9,30.4,21.9,36.7,39.7,32.8,37.6,15.5,17.5,7.1,32.1
"1989:Q4","Next40",35.2,37.3,49,40.4,14.8,46.7,19.6,31.6,51,53.8,46.7,28.9
"1989:Q4","Bottom50",3.8,7.2,11.7,19.3,1.1,4.7,1.5,5,29.5,25.1,42.9,21.8
"1990:Q1","Top1",24.1,21.4,9.3,17.5,47.2,8.9,46.2,26.2,4.1,3.5,3.2,18
"1990:Q1","Next9",36.5,33.7,29.9,22.1,36.6,39.8,32.3,37.3,16,17.9,7.2,31.9
"1990:Q1","Next40",35.8,37.6,49.3,40.6,15.3,46.7,20,31.6,49.4,52,45.4,29.3
"1990:Q1","Bottom50",3.6,7.2,11.5,19.7,0.9,4.6,1.6,4.9,30.5,26.5,44.2,20.8
"1990:Q2","Top1",24.3,21.6,9.6,17.3,47.8,9,46.3,26,4.1,3.6,3,19.1
"1990:Q2","Next9",36.6,33.7,30.1,21.8,36.3,40,32.3,37.2,15.8,17.6,7.5,31.1
"1990:Q2","Next40",35.5,37.4,48.9,40.8,15,46.4,19.7,31.8,50.1,53.1,44.7,29.5
"1990:Q2","Bottom50",3.7,7.3,11.4,20.1,0.9,4.6,1.7,4.9,30,25.7,44.8,20.3
"1990:Q3","Top1",23.8,21.1,9.7,16.2,47.2,8.8,45.3,26.9,4.3,3.7,3.3,21.5
"1990:Q3","Next9",36.6,33.7,29.7,22.7,36.6,40.5,32.6,36.8,15.8,18,6.9,28.8
"1990:Q3","Next40",36,37.8,48.8,41.2,15.8,46.3,20.3,31.5,49.4,51.8,45.4,29.3
"1990:Q3","Bottom50",3.6,7.4,11.8,20,0.4,4.5,1.8,4.9,30.6,26.5,44.4,20.4
"1990:Q4","Top1",24.4,21.6,10.2,15.8,46.5,8.9,46.6,27.3,4.4,3.9,3.1,22.2
"1990:Q4","Next9",36.2,33.3,29.2,22.6,36.4,39.9,31.2,36.7,15.5,17.5,7.2,29.3
"1990:Q4","Next40",35.9,37.9,49.2,41.4,16.4,46.9,20.4,31.3,50,52.9,44.8,29.2
