"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","White",18501033,21067522,5992852,1643510,1974037,3925362,2623713,4908049,2566489,1826710,620337,119441
"1989:Q3","Black",779723,964055,338435,110901,17342,324346,38119,134913,184332,104555,78213,1564
"1989:Q3","Hispanic",417218,618307,263006,67284,12204,112524,56034,107255,201089,142171,46575,12343
"1989:Q3","Other",726165,906832,297663,74655,48053,110964,252472,123025,180666,137254,39082,4330
"1989:Q4","White",18827639,21414000,6058209,1659280,2026877,4026555,2650722,4992357,2586361,1821475,646437,118449
"1989:Q4","Black",793769,990758,339374,115101,19190,338956,39930,138207,196990,119308,75786,1896
"1989:Q4","Hispanic",410477,638825,265770,71121,12346,115938,58980,114671,228348,169054,47764,11530
"1989:Q4","Other",774113,969147,330963,80273,55138,119945,245622,137205,195034,150278,39298,5458
"1990:Q1","White",18913077,21564275,6189691,1693668,1907352,4072487,2655042,5046036,2651199,1897730,631233,122236
"1990:Q1","Black",801246,1000320,328222,115502,19349,352359,43071,141819,199075,122248,74396,2431
"1990:Q1","Hispanic",420876,642770,252876,74839,11140,117541,65099,121275,221894,163256,47934,10704
"1990:Q1","Other",808836,1005733,327489,83120,56805,137927,250851,149541,196897,151678,38758,6461
"1990:Q2","White",19048099,21716601,6186861,1705994,1972989,4138510,2646371,5065875,2668502,1909981,636691,121830
"1990:Q2","Black",826135,1039859,340480,120257,20079,364276,44153,150615,213725,136689,74176,2860
"1990:Q2","Hispanic",420138,665460,255070,77618,14259,123227,68075,127211,245322,186506,49001,9815
"1990:Q2","Other",878896,1087171,354736,88642,57114,160774,263854,162051,208275,162235,38844,7196
"1990:Q3","White",18828760,21581565,6273614,1727300,1633573,4163864,2634742,5148472,2752805,1978222,659666,114917
"1990:Q3","Black",842439,1047336,330537,117537,18588,376550,51022,153103,204897,134497,67381,3019
"1990:Q3","Hispanic",436453,666561,241207,81430,9600,119359,80134,134830,230108,173139,48048,8922
"1990:Q3","Other",911975,1117350,341032,89978,54747,178486,275518,177588,205375,160879,37207,7289
