"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","White",90.6,89.4,87,86.7,96.2,87.8,88.3,93.1,81.9,82.6,79.1,86.8
"1989:Q3","Black",3.8,4.1,4.9,5.8,0.8,7.3,1.3,2.6,5.9,4.7,10,1.1
"1989:Q3","Hispanic",2,2.6,3.8,3.5,0.6,2.5,1.9,2,6.4,6.4,5.9,9
"1989:Q3","Other",3.6,3.8,4.3,3.9,2.3,2.5,8.5,2.3,5.8,6.2,5,3.1
"1989:Q4","White",90.5,89.2,86.6,86.2,95.9,87.5,88.5,92.8,80.7,80.6,79.9,86.2
"1989:Q4","Black",3.8,4.1,4.9,6,0.9,7.4,1.3,2.6,6.1,5.3,9.4,1.4
"1989:Q4","Hispanic",2,2.7,3.8,3.7,0.6,2.5,2,2.1,7.1,7.5,5.9,8.4
"1989:Q4","Other",3.7,4,4.7,4.2,2.6,2.6,8.2,2.5,6.1,6.6,4.9,4
"1990:Q1","White",90.3,89.1,87.2,86.1,95.6,87,88.1,92.4,81.1,81.3,79.7,86.2
"1990:Q1","Black",3.8,4.1,4.6,5.9,1,7.5,1.4,2.6,6.1,5.2,9.4,1.7
"1990:Q1","Hispanic",2,2.7,3.6,3.8,0.6,2.5,2.2,2.2,6.8,7,6,7.5
"1990:Q1","Other",3.9,4.2,4.6,4.2,2.8,2.9,8.3,2.7,6,6.5,4.9,4.6
"1990:Q2","White",90,88.6,86.7,85.6,95.6,86.5,87.6,92,80,79.7,79.7,86
"1990:Q2","Black",3.9,4.2,4.8,6,1,7.6,1.5,2.7,6.4,5.7,9.3,2
"1990:Q2","Hispanic",2,2.7,3.6,3.9,0.7,2.6,2.3,2.3,7.4,7.8,6.1,6.9
"1990:Q2","Other",4.2,4.4,5,4.4,2.8,3.4,8.7,2.9,6.2,6.8,4.9,5.1
"1990:Q3","White",89.6,88.4,87.3,85.7,95.2,86.1,86.6,91.7,81.1,80.9,81.2,85.7
"1990:Q3","Black",4,4.3,4.6,5.8,1.1,7.8,1.7,2.7,6,5.5,8.3,2.3
"1990:Q3","Hispanic",2.1,2.7,3.4,4,0.6,2.5,2.6,2.4,6.8,7.1,5.9,6.7
"1990:Q3","Other",4.3,4.6,4.7,4.5,3.2,3.7,9.1,3.2,6.1,6.6,4.6,5.4
"1990:Q4","White",90,88.7,87.7,85.6,95,85.9,87.5,92,80.9,80.6,81,86.1
"1990:Q4","Black",3.9,4.2,4.5,5.9,1.1,7.9,1.7,2.5,6.1,5.6,8.3,2.5
"1990:Q4","Hispanic",1.9,2.6,3.2,4,0.5,2.5,2.5,2.2,6.8,7.1,6.1,6
"1990:Q4","Other",4.2,4.5,4.6,4.5,3.4,3.7,8.3,3.3,6.1,6.7,4.6,5.4
"1991:Q1","White",90.3,88.8,87.2,85.3,94.8,86.1,88.8,92.4,79.5,79.1,79.5,86.5
"1991:Q1","Black",3.8,4.2,4.7,6.1,1.1,7.9,1.7,2.3,6.6,6,9.2,2.8
"1991:Q1","Hispanic",1.8,2.5,3.3,4,0.5,2.6,2.3,2,7.4,7.9,6.4,5.4
"1991:Q1","Other",4.1,4.4,4.9,4.7,3.5,3.5,7.2,3.4,6.5,7,4.9,5.3
"1991:Q2","White",90.2,88.7,87.1,85.1,94.8,86.3,88.3,92.3,79.6,79.2,79.6,86.6
"1991:Q2","Black",3.9,4.2,4.7,6.1,1.2,7.8,1.8,2.3,6.6,6.1,9.1,3.1
"1991:Q2","Hispanic",1.8,2.5,3.3,4,0.5,2.5,2.4,2,7.4,7.8,6.4,4.8
"1991:Q2","Other",4.2,4.5,4.9,4.8,3.5,3.4,7.5,3.5,6.4,7,4.8,5.5
"1991:Q3","White",90.2,89,87.7,85.3,94.8,86.6,88.1,92.1,81.1,81.2,79.8,86.8
"1991:Q3","Black",3.9,4.2,4.6,6,1.2,7.7,1.9,2.3,6.3,5.7,9.2,3.4
"1991:Q3","Hispanic",1.8,2.5,3.1,3.9,0.6,2.4,2.5,2,6.5,6.7,6.4,3.9
"1991:Q3","Other",4.1,4.4,4.7,4.8,3.4,3.3,7.5,3.6,6,6.5,4.7,5.9
"1991:Q4","White",90.3,89.1,87.4,85.2,94.9,86.6,88.7,92.3,81.4,81.5,79.9,87.3
"1991:Q4","Black",3.9,4.2,4.7,6.2,1.2,7.7,2,2.3,6.4,5.7,9.2,3.6
"1991:Q4","Hispanic",1.8,2.4,3.2,3.8,0.6,2.4,2.4,1.7,6.3,6.5,6.3,3.2
"1991:Q4","Other",4.1,4.3,4.7,4.9,3.3,3.2,6.9,3.7,5.9,6.3,4.5,6
"1992:Q1","White",89.7,88.6,86.8,84.9,94.9,85.9,88,92.3,81.8,81.9,80.1,86.9
"1992:Q1","Black",4.1,4.4,4.9,6.3,1.2,8,2.3,2.2,6.5,5.7,9.4,3.9
"1992:Q1","Hispanic",1.9,2.4,3.4,3.8,0.6,2.4,2.6,1.6,6.1,6.3,6.2,2.7
"1992:Q1","Other",4.3,4.5,4.9,5,3.3,3.7,7.1,3.9,5.7,6,4.3,6.5
"1992:Q2","White",89.2,88.2,86.6,84.7,95,85.5,86.7,91.9,82.3,82.5,80.6,86.9
"1992:Q2","Black",4.3,4.6,5,6.4,1.3,8.1,2.7,2.4,6.5,5.7,9.5,4.1
"1992:Q2","Hispanic",1.9,2.5,3.4,3.7,0.6,2.3,2.9,1.6,5.8,6,6,2.1
"1992:Q2","Other",4.6,4.7,5,5.1,3.1,4.1,7.6,4.1,5.4,5.8,4,6.8
"1992:Q3","White",88.8,88.1,87,85.1,95.1,85.2,85.6,91.5,83.5,84.1,80.8,87.2
"1992:Q3","Black",4.4,4.7,4.9,6.4,1.3,8.2,3.2,2.6,6.3,5.4,9.6,4.4
"1992:Q3","Hispanic",2,2.4,3.4,3.5,0.6,2.3,3.2,1.5,5.1,5.1,5.8,1.7
"1992:Q3","Other",4.7,4.8,4.7,5,2.9,4.3,8,4.5,5.1,5.3,3.8,6.7
"1992:Q4","White",89.4,88.6,87.4,85.4,95.2,84.8,87.8,91.9,83.7,84.4,80.6,87.8
"1992:Q4","Black",4.2,4.5,4.8,6.3,1.3,8.3,2.7,2.3,6.3,5.4,9.8,4.2
"1992:Q4","Hispanic",1.9,2.3,3.3,3.4,0.6,2.4,2.7,1.4,4.9,4.9,5.7,1.7
"1992:Q4","Other",4.5,4.6,4.5,4.9,3,4.5,6.7,4.3,5,5.2,3.9,6.3
"1993:Q1","White",89.7,88.6,86.3,85,95.3,85.4,89,92.3,81.9,82.2,79.4,88.4
"1993:Q1","Black",4.1,4.5,5.1,6.5,1.3,8,2.5,2.3,7,6.1,10.8,3.9
"1993:Q1","Hispanic",1.8,2.3,3.5,3.4,0.5,2.3,2.4,1.4,5.8,6.1,5.8,1.7
"1993:Q1","Other",4.4,4.5,5.1,5.1,3,4.2,6.1,4,5.3,5.6,4.1,6.1
"1993:Q2","White",90,88.9,86.6,85.4,95.3,85.6,90,92.5,82.3,82.8,79.1,89
"1993:Q2","Black",4,4.4,5,6.3,1.3,7.9,2.3,2.2,7,6.1,11.1,3.7
"1993:Q2","Hispanic",1.8,2.3,3.5,3.4,0.4,2.3,2.2,1.4,5.5,5.7,5.6,1.7
"1993:Q2","Other",4.2,4.4,4.9,4.9,3.1,4.2,5.5,3.9,5.2,5.4,4.2,5.6
"1993:Q3","White",90.3,89.3,87.2,85.9,95.3,85.7,90.8,92.6,82.8,83.4,78.9,89.9
"1993:Q3","Black",3.9,4.3,4.9,6.1,1.3,7.8,2.2,2.2,7,6,11.3,3.4
"1993:Q3","Hispanic",1.7,2.2,3.3,3.3,0.4,2.3,2.1,1.4,5.2,5.3,5.5,1.6
"1993:Q3","Other",4.1,4.2,4.6,4.7,3.1,4.2,4.9,3.8,5.1,5.3,4.3,5
"1993:Q4","White",90.5,89.4,87.2,86.1,95.4,85.6,91.7,92.9,82.9,83.4,79.5,90.5
"1993:Q4","Black",3.9,4.3,4.9,6.1,1.3,7.8,2.1,2.1,7,6.1,11,3.2
"1993:Q4","Hispanic",1.7,2.2,3.4,3.2,0.3,2.4,1.9,1.4,5.1,5.3,5.2,1.6
"1993:Q4","Other",4,4.1,4.6,4.6,3.1,4.3,4.3,3.7,5,5.2,4.2,4.7
"1994:Q1","White",90.4,89.2,86.5,85.9,95.3,85.6,91.7,93,81.6,81.7,79.2,91.1
"1994:Q1","Black",3.9,4.4,5.2,6.1,1.3,7.7,2.2,2.1,7.5,6.6,11.3,3.1
"1994:Q1","Hispanic",1.6,2.2,3.5,3.3,0.2,2.3,2,1.3,5.7,6.2,5.1,1.6
"1994:Q1","Other",4.1,4.2,4.9,4.7,3.2,4.4,4.1,3.6,5.2,5.5,4.3,4.2
"1994:Q2","White",90.3,89.1,86.5,86,95.4,85.8,91.1,92.7,81.9,81.8,79.8,91.5
"1994:Q2","Black",3.9,4.4,5.2,6,1.3,7.5,2.2,2.3,7.5,6.7,11.1,3
"1994:Q2","Hispanic",1.7,2.2,3.5,3.3,0.2,2.3,2,1.4,5.6,6.1,4.8,1.6
"1994:Q2","Other",4.1,4.2,4.8,4.6,3.1,4.4,4.6,3.6,5,5.4,4.2,3.9
"1994:Q3","White",90.3,89.2,87,86.4,95.5,85.7,91.3,92.4,82.7,82.9,80.3,92
"1994:Q3","Black",3.9,4.4,5.1,5.9,1.3,7.4,2.2,2.5,7.3,6.5,10.8,2.9
"1994:Q3","Hispanic",1.7,2.2,3.3,3.2,0.2,2.3,1.9,1.5,5.1,5.5,4.7,1.6
"1994:Q3","Other",4.1,4.2,4.5,4.5,3,4.6,4.6,3.7,4.9,5.1,4.2,3.5
"1994:Q4","White",90.1,89.1,87.3,86.6,95.5,85.2,90.9,92.1,83.4,83.3,81.8,92.4
"1994:Q4","Black",3.9,4.4,5.1,5.7,1.3,7.5,2.2,2.6,7.1,6.4,9.9,2.9
"1994:Q4","Hispanic",1.8,2.2,3.2,3.2,0.2,2.4,2,1.6,4.8,5.2,4.3,1.5
"1994:Q4","Other",4.2,4.3,4.4,4.5,3,4.9,4.9,3.7,4.7,5,4.1,3.3
"1995:Q1","White",90.1,89.1,87.3,86.6,95.5,85.4,91.3,91.7,83.1,83.2,80.9,92.9
"1995:Q1","Black",3.9,4.4,5.1,5.7,1.2,7.3,2,2.8,7.2,6.5,10.2,2.9
"1995:Q1","Hispanic",1.8,2.2,3.1,3.2,0.3,2.5,1.8,1.7,4.9,5.2,4.5,1.4
"1995:Q1","Other",4.2,4.3,4.4,4.5,3,4.9,4.9,3.9,4.8,5.1,4.4,2.8
"1995:Q2","White",90.2,89.3,87.9,87,95.4,85.1,92.4,91.2,83.9,84.3,80.8,93.4
"1995:Q2","Black",3.8,4.3,5,5.5,1.1,7.3,1.8,2.8,6.9,6.2,9.9,3
"1995:Q2","Hispanic",1.8,2.1,3,3.1,0.4,2.6,1.4,1.7,4.4,4.5,4.7,1.4
"1995:Q2","Other",4.2,4.3,4.1,4.4,3.1,5,4.4,4.4,4.7,5,4.6,2.2
